,date,speculator(long),speculator(short),speculator(spreading),commercial(long),commercial(short),total(long),total(short)
0,2017-08-18,"26,698","28,828","3,346","11,650","16,461","41,694","48,635"
1,2017-07-21,"28,492","26,482","2,295","13,230","20,244","44,018","49,022"
2,2017-07-07,"30,041","24,253","2,993","9,667","20,344","42,701","47,590"
3,2017-06-30,"27,916","22,511","3,183","9,214","19,719","40,312","45,413"
4,2017-06-02,"51,405","23,761","3,291","18,201","51,910","72,897","78,963"
5,2017-05-12,"48,720","13,001","2,776","13,831","55,802","65,327","71,579"
6,2017-05-05,"50,403","10,438","2,434","12,785","58,275","65,621","71,146"
7,2017-04-28,"49,521","6,037","1,956","10,404","59,419","61,881","67,412"
8,2017-04-21,"46,733","3,331","2,416","9,951","58,746","59,100","64,493"
9,2017-04-07,"48,839","5,925","2,005","10,674","59,033","61,518","66,963"
10,2017-03-31,"52,814","8,648","1,920","12,017","61,860","66,750","72,428"
11,2017-02-10,"54,443","7,767","2,943","7,313","60,649","64,698","71,359"
12,2017-02-03,"54,841","8,389","2,723","6,977","62,233","64,541","73,345"
13,2017-01-20,"57,614","8,572","2,175","7,032","64,187","66,821","74,934"
14,2016-12-16,"70,116","13,481","5,551","9,580","72,834","85,247","91,866"
15,2016-11-14,"65,490","13,341","3,259","8,870","67,558","77,619","84,158"
16,2016-10-28,"68,062","14,098","4,259","7,068","66,384","79,390","84,741"
17,2016-10-14,"51,126","17,545","4,011","6,948","46,192","62,085","67,748"
18,2016-09-30,"31,347","19,219","4,515","7,475","24,854","43,337","48,589"
19,2016-09-23,"30,414","16,074","3,614","7,255","26,385","41,283","46,073"
20,2016-09-16,"34,459","17,453","5,613","8,007","30,507","48,080","53,574"
21,2016-08-12,"32,462","16,811","8,844","7,594","29,126","48,901","54,782"
22,2016-07-15,"33,094","19,181","4,665","7,749","26,967","45,508","50,813"
23,2016-07-08,"32,859","20,354","4,033","7,504","25,416","44,396","49,802"
24,2016-07-01,"31,329","18,904","3,608","7,354","22,455","42,291","44,967"
25,2016-06-24,"34,095","24,759","3,450","7,237","20,403","44,783","48,612"
26,2016-06-10,"38,075","28,282","7,623","17,076","31,764","62,774","67,669"
27,2016-06-03,"34,074","24,180","4,306","15,756","31,814","54,136","60,300"
28,2016-05-13,"42,849","30,735","3,034","14,388","31,303","60,271","65,072"
29,2016-04-15,"39,440","25,695","1,796","10,305","28,802","51,541","56,293"
30,2016-04-08,"39,870","22,670","2,030","7,623","29,198","49,523","53,898"
31,2016-04-01,"37,422","19,802","1,896","8,529","29,274","47,847","50,971"
32,2016-03-11,"40,372","14,096","1,984","15,959","45,989","58,315","62,069"
33,2016-03-04,"41,486","14,798","1,502","15,210","46,152","58,197","62,451"
34,2016-02-19,"46,676","15,402","1,296","15,462","50,547","63,434","67,245"
35,2016-02-12,"50,677","15,678","1,886","16,444","55,970","69,008","73,534"
36,2016-02-05,"54,766","9,941","2,152","10,282","62,777","67,200","74,869"
37,2016-01-29,"54,670","10,504","1,974","10,498","62,093","67,142","74,572"
38,2016-01-22,"55,086","12,380","1,778","10,612","60,775","67,476","74,933"
39,2015-11-30,"64,882","18,905","3,292","9,592","67,571","77,766","89,767"
40,2015-11-16,"61,336","17,725","2,170","9,386","62,588","72,893","82,483"
41,2015-10-30,"48,999","14,411","2,397","14,479","57,070","65,875","73,879"
42,2015-10-23,"47,507","19,384","1,885","23,468","58,169","72,860","79,438"
43,2015-10-09,"54,663","8,748","1,522","6,135","59,322","62,321","69,592"
44,2015-10-02,"54,511","8,905","1,734","6,292","58,639","62,538","69,278"
45,2015-08-28,"67,279","15,191","3,960","20,392","79,323","91,631","98,473"
46,2015-08-14,"71,765","6,272","3,638","11,066","90,114","86,469","100,025"
47,2015-08-07,"72,632","7,630","2,340","10,297","89,421","85,268","99,391"
48,2015-07-24,"70,940","8,790","2,050","9,221","85,534","82,212","96,374"
49,2015-07-17,"63,801","5,162","2,009","8,478","80,104","74,289","87,276"
50,2015-07-10,"64,435","5,075","2,632","8,002","80,582","75,069","88,290"
51,2015-07-06,"59,057","7,708","2,681","8,197","71,318","69,935","81,707"
52,2015-06-26,"63,671","11,397","1,944","7,500","71,087","73,115","84,427"
53,2015-06-12,"73,410","10,566","4,329","13,002","89,062","90,741","103,957"
54,2015-06-05,"72,550","12,824","2,900","12,671","85,945","88,122","101,669"
55,2015-05-29,"69,853","17,521","3,085","14,601","80,628","87,539","101,234"
56,2015-05-15,"67,300","11,970","2,547","13,741","79,910","83,588","94,427"
57,2015-05-08,"72,717","13,799","2,399","11,696","82,186","86,811","98,384"
58,2015-05-01,"78,184","13,620","3,604","8,480","88,296","90,268","105,519"
59,2015-04-24,"85,954","14,302","2,682","8,806","97,198","97,441","114,182"
60,2015-04-17,"90,535","14,192","2,208","9,907","100,420","102,650","116,821"
61,2015-04-03,"87,300","14,225","1,675","9,053","101,441","98,028","117,342"
62,2015-03-27,"83,476","12,336","2,158","9,779","98,322","95,414","112,816"
63,2015-03-20,"96,566","16,890","1,942","11,216","112,064","109,723","130,896"
64,2015-03-13,"97,139","15,929","14,909","15,180","114,975","127,228","145,813"
65,2015-03-06,"85,714","18,751","3,177","14,435","100,724","103,326","122,652"
66,2015-02-27,"81,573","13,626","3,380","13,314","101,075","98,267","118,082"
67,2015-02-20,"76,681","10,797","3,973","13,228","99,569","93,882","114,339"
68,2015-02-13,"78,695","9,916","3,549","11,958","100,202","94,203","113,667"
69,2015-01-23,"97,110","24,213","1,478","13,723","102,705","112,311","128,396"
70,2015-01-16,"94,642","22,956","1,730","14,250","101,442","110,623","126,128"
71,2015-01-09,"97,096","27,880","1,456","11,033","95,729","109,585","125,065"
72,2015-01-05,"81,575","33,233","1,205","8,366","71,381","91,146","105,820"
73,2014-12-30,"69,549","22,102","1,348","9,487","70,425","80,385","93,875"
74,2014-12-19,"61,626","30,067","1,383","9,391","55,387","72,399","86,837"
75,2014-12-01,"71,915","33,896","2,331","9,190","59,282","83,435","95,508"
76,2014-11-07,"72,829","30,473","2,224","5,226","59,241","80,279","91,937"
77,2014-10-10,"73,700","24,244","2,286","7,348","66,675","83,334","93,206"
78,2014-08-01,"55,991","36,512","3,113","7,214","33,292","66,318","72,918"
79,2014-07-25,"41,507","22,830","2,862","5,967","30,619","50,336","56,311"
80,2014-07-18,"37,513","19,810","2,854","5,560","29,619","45,927","52,283"
81,2014-07-11,"38,810","19,063","2,725","5,043","30,440","46,579","52,229"
82,2014-06-27,"44,908","23,087","2,444","3,948","31,448","51,300","56,979"
83,2014-06-13,"36,370","36,306","5,698","4,573","10,412","46,641","52,415"
84,2014-05-09,"41,627","43,251","4,064","4,796","10,188","50,487","57,504"
85,2014-05-02,"36,775","37,104","2,812","5,255","11,320","44,842","51,236"
86,2014-04-11,"33,558","33,057","3,760","5,152","12,665","42,470","49,482"
87,2014-03-28,"31,742","42,793","2,917","8,025","2,767","42,684","48,477"
88,2014-03-21,"31,802","43,969","2,826","9,286","2,243","43,913","49,038"
89,2014-03-14,"41,189","41,386","2,548","6,257","11,232","49,994","55,167"
90,2014-03-07,"34,938","35,695","3,573","6,204","11,583","44,714","50,850"
91,2014-02-21,"32,542","30,170","2,220","6,150","15,442","40,912","47,832"
92,2014-02-14,"31,021","24,692","1,885","6,285","19,374","39,191","45,951"
93,2014-01-31,"32,787","28,978","2,298","6,289","16,582","41,374","47,857"
94,2014-01-10,"29,489","32,083","2,064","7,442","11,390","38,995","45,537"
95,2014-01-06,"27,990","32,292","2,150","8,192","7,880","38,332","42,321"
0,2017-07-14,"29,604","27,301","2,706","13,290","20,249","45,600","50,255"
1,2017-06-23,"28,190","22,698","1,760","8,731","19,923","38,681","44,381"
2,2017-05-26,"54,835","23,562","2,835","18,495","55,796","76,165","82,193"
3,2017-05-19,"51,501","17,267","2,482","15,412","55,813","69,395","75,561"
4,2017-04-14,"49,141","4,843","1,927","9,779","59,849","60,848","66,620"
5,2017-03-24,"52,831","6,625","1,581","9,317","62,311","63,729","70,517"
6,2017-03-17,"54,815","7,116","1,165","9,422","63,709","65,402","71,991"
7,2017-03-10,"57,575","6,561","2,053","13,573","72,045","73,201","80,659"
8,2017-03-03,"52,586","7,781","3,311","10,193","61,416","66,090","72,508"
9,2017-02-24,"52,804","7,028","3,172","10,077","61,869","66,053","72,068"
10,2017-02-17,"53,325","7,531","2,725","8,601","61,518","64,651","71,774"
11,2017-01-27,"55,148","6,822","2,080","7,069","63,560","64,297","72,462"
12,2017-01-13,"61,225","8,165","1,703","7,587","67,470","70,516","77,338"
13,2017-01-06,"64,527","10,232","1,534","8,443","68,860","74,504","80,626"
14,2016-12-23,"63,445","11,071","1,404","9,823","68,921","74,672","81,396"
15,2016-12-09,"66,403","11,915","6,386","9,700","71,140","82,488","89,440"
16,2016-12-02,"67,949","14,674","5,790","9,737","69,414","83,477","89,879"
17,2016-11-28,"72,132","19,130","3,386","9,879","68,878","85,397","91,394"
18,2016-11-18,"60,744","12,466","3,107","9,591","62,713","73,442","78,286"
19,2016-11-04,"67,208","12,982","3,979","7,021","67,111","78,207","84,071"
20,2016-10-21,"60,724","15,283","4,018","7,220","59,009","71,962","78,310"
21,2016-10-07,"34,375","22,325","4,423","7,446","25,319","46,244","52,068"
