,date,speculator(long),speculator(short),speculator(spreading),commercial(long),commercial(short),total(long),total(short)
,2017/8/25,91305,46759,16932,55060,110109,163297,173800
0,2017/8/18,"91,596","52,745","16,096","55,918","104,006","163,610","172,847"
1,2017/7/21,"90,776","81,400","24,987","66,398","88,312","182,161","194,699"
2,2017/7/7,"91,996","65,721","20,600","61,561","100,789","174,157","187,110"
3,2017/6/30,"93,869","58,337","22,067","59,720","109,928","175,656","190,332"
4,2017/6/2,"96,568","35,154","32,131","52,861","123,943","181,560","191,228"
5,2017/5/12,"94,982","41,327","22,955","48,400","117,669","166,337","181,951"
6,2017/5/5,"101,538","30,171","16,458","43,731","130,305","161,727","176,934"
7,2017/4/28,"121,018","27,405","25,023","43,415","151,504","189,456","203,932"
8,2017/4/21,"128,378","24,491","26,918","46,878","163,710","202,174","215,119"
9,2017/4/7,"126,524","25,142","21,540","47,639","159,985","195,703","206,667"
10,2017/3/31,"112,197","21,509","18,846","48,127","149,894","179,170","190,249"
11,2017/2/10,"98,560","20,283","19,386","50,072","142,784","168,018","182,453"
12,2017/2/3,"96,909","20,935","16,500","49,265","138,678","162,674","176,113"
13,2017/1/20,"90,838","21,356","12,618","45,028","126,764","148,484","160,738"
14,2016/12/16,"87,040","20,107","9,621","41,867","122,998","138,528","152,726"
15,2016/11/14,"89,360","24,091","17,182","53,861","136,122","160,403","177,395"
16,2016/10/28,"92,213","35,140","19,340","57,120","130,516","168,673","184,996"
17,2016/10/14,"97,527","34,634","11,453","52,174","129,809","161,154","175,896"
18,2016/9/30,"116,948","32,086","8,572","48,161","148,979","173,681","189,637"
19,2016/9/23,"113,567","30,932","8,339","45,909","142,854","167,815","182,125"
20,2016/9/16,"113,792","32,224","8,174","45,479","142,154","167,445","182,552"
21,2016/8/12,"122,165","31,101","14,537","47,020","150,331","183,722","195,969"
22,2016/7/15,"114,376","26,724","19,615","54,035","154,155","188,026","200,494"
23,2016/7/8,"111,348","25,594","18,408","55,718","154,486","185,474","198,488"
24,2016/7/1,"107,555","23,894","22,274","56,671","151,872","186,500","198,040"
25,2016/6/24,"106,942","26,699","18,326","55,836","145,772","181,104","190,797"
26,2016/6/10,"86,676","29,635","21,265","56,476","128,310","164,417","179,210"
27,2016/6/3,"89,815","28,184","20,142","59,970","135,935","169,927","184,261"
28,2016/5/13,"107,844","27,573","16,664","53,870","145,602","178,378","189,839"
29,2016/4/15,"87,892","25,424","17,878","52,108","124,524","157,878","167,826"
30,2016/4/8,"79,942","27,931","25,696","51,291","110,956","156,929","164,583"
31,2016/4/1,"79,493","24,986","21,836","47,675","115,779","149,004","162,601"
32,2016/3/11,"79,879","19,995","18,527","47,434","118,249","145,840","156,771"
33,2016/3/4,"78,607","23,127","13,530","48,025","113,262","140,162","149,919"
34,2016/2/19,"80,249","21,532","18,689","44,638","114,700","143,576","154,921"
35,2016/2/12,"78,108","25,426","17,923","44,437","106,146","140,468","149,495"
36,2016/2/5,"70,685","32,097","17,609","47,967","93,441","136,261","143,147"
